"content","sentiment","spam"
"@T quán t nói","0","1"
"@Phụng Anh tnhien thèm","0","1"
"@Pham Ngoc Luong em sẽ để dành tiền để ăn mới đc","0","1"
"@Kim Oanh qua tgian dc free nước rùi","0","1"
"@Nguyễn Thế Tuấn hic","0","1"
"@???? lâu lắm k ănnn","0","1"
"@caphedenn em iuu","0","1"
"@Phạm Hoàng 2k1 cách e 3km","0","1"
"@✿‿•мιυυyên đi k nhò","0","1"
"@369.41g/mol đi nhé","0","1"
"@Nguyễn Duyên gần hateco","0","1"
"@đta_302 hahhaah di lại khôm","0","1"
"@HuyenChang c oi????","0","1"
"@???????? ???????????????? ????????????  đại học công nghiệp hâhu","0","1"
"@Vũ Phúc Xuân phương a","0","1"
"@Quỳnh Hương ???????? ê có hàu","0","1"
"@Như Quỳnh hàu hàu","0","1"
"@Phạm Tú Bảo hnao đi ko anh , cách nhà 800m","0","1"
"@Tiến Anh coi i","0","1"
"???????????? quá trời đồ luôn kìa, cuối tuần đi m @Quynh Quynh617","0","1"
"@anhtu.do","0","1"
"@Nguyễn Ngọc Sơn","0","1"
"@30thg5 ^•^ nhớ quán này hong anh chủ cho thử nước chấm me nè","0","1"
"@Lê H. Minh đây","0","1"
"@Chanh???? e nhớ quán này ko","0","1"
"@lúc nóng lúc sôi nnay t ăn tốt nè","0","1"
"@Sunny ???? đi khummm nạ","0","1"
"@???? đói","0","1"
"@????????ʕ´•ᴥ•`˵ʔ???????? e bít đi đâu dồi","0","1"
"@???? về đi","0","1"
"@Phương đang niềng răng ???? lần đầu có lần 2 không","0","1"
"T@ThanhNa","0","1"
"@Chạ iu ai????","0","1"
"@Ngọc Hân14875 mún đi mà xa quớ hic","0","1"
"@Gia Bảo có ngiu để đoá nào coá tìn i","0","1"
"@Luân Cá Sấu???? chỗ lúc trước ăn nay khác quá kiag","0","1"
"@Khang và 8745 người khác đi thoiiii","0","1"
"@dn.nquynh @d.d.thon tr oi nhớ hongg","0","1"
"@Uyên Phương hẹn iem tháng tới????","0","1"
"@Nghĩa Nguyễn Hữu770 anhhh","0","1"
"@khẩu xà tâm phật lên kèo đi","0","1"
"@???? lưu vô nào đi ????","0","1"
"@Lê Ang alo","0","1"
"@Thành Phước anh iu ơiiii","0","1"
"@Dung Mụi em oi","0","1"
"Đi thoai @3TV Official","0","1"
"@Quế Chi","0","1"
"@Ngô Thắng dở toàn tập????","0","1"
"@Na???? được rồi đi thôi","0","1"
"@Kiều Trang 9th10","0","1"
"@Teppi Cua @Zím Béo ngon lắm ạ ????","0","1"
"@Tô Hoàng Minh","0","1"
"@Balala???? duyệt","0","1"
"@linhthuyxinhdepnhat đại học mỏ có biết kh ạ :))","0","1"
"@Thanh Hoà ủa sao cta khum thấy ta :))","0","1"
"@NTTT đến ủng hộ đi","0","1"
"@Vanh Kem Sport thèm quá","0","1"
"@Tuan Hoang điiiiii","0","1"
"@Trần Huyền chỗ chi","0","1"
"@Chung phan ????","0","1"
"@T.Dưn đợi hôm nào cậu đưa các bạn đi :)))","0","1"
"@Chú Bé đi thôi b ơi","0","1"
"@Doris???? đổi ca để tối nàooo đi ăn thôi em ơi","0","1"
"@Thương Nguyên Thi bạn ơi","0","1"
"@Nguyễn Nga gần m à","0","1"
"@Mỹ Hậu ủa đâu ra","0","1"
"@25thg8 alo","0","1"
"@maichi4096 gần trường t","0","1"
"@Linh Tâm có ở gần kh nhỉ","0","1"
"@T.h.u.y.t.n gần trường e nè????","0","1"
"@Lệ @4% gần không","0","1"
"@Ặc ặc cứu tui @D waooo","0","1"
"@Ngọc Hà sang đưa đi cấy","0","1"
"mún ik????@Đức Thành ????????","0","1"
"@Thương Huyền bạn ơiii","0","1"
"@Ngọc Thiện quán bữa chỉ ko nhìn nè","0","1"
"@Thuy vợ ơi","0","1"
"@Thanhh Hoàii Đã Có Vợ ????????","0","1"
"@ThyThanh","0","1"
"@Hông eat clean","0","1"
"@TONY","0","1"
"@@ngọc trinh ,????","0","1"
"@Đỗ Kim Tuyền","0","1"
"@Võ Hoàng Khánh","0","1"
"@Angela 51%","0","1"
"@TÔ LY ... GOÀNG cũng là yaki yaki mà sao nó lạ lắm","0","1"
"@Huỳnh Bá Đệ đi đi","0","1"
"@MUN này nè chồng","0","1"
"@anhsnguyen60 e muốn đi????","0","1"
"@ųƴêท☪ɦ¡ bữa nào rảnh đi","0","1"
"@JiaPhua taq trước nho ????????","0","1"
"@Thanh Tú uầy uầy . Rủ c bé kia đi a ????","0","1"
"@Huỳnh Kim Thành mai mốt e dắt a đi ăn bồi bổ sức khỏe","0","1"
"@Nancy Du @Grace Su thứ 3 nè","0","1"
"@Thỏ Babie điiiiiiii","0","1"
"@AnnaMy thèm","0","1"
"@ρ❍ղ ɑղɗ ρɑղɗɑ︵❣ à lô","0","1"
"@boo êiii","0","1"
"@Tuanh0908 đi ko?","0","1"
"@Nam Nguyễn sao bữa nó k gthieu mình này ta","0","1"
"@Hân Di đi","0","1"
"@Shjn142 anh OK k","0","1"
"@Sanfr.tam_7125 chị oie","0","1"
"@pnchan đi nè!!!","0","1"
"@Shin thèm Roi","0","1"
"@user807055 sao ạ","0","1"
"@Thảo Vy ???? đi liền","0","1"
"@Katie cũng được nè 169k 1 dĩa","0","1"
"@Cheryl ???? héluuuu","0","1"
"@Như Vicy này sao","0","1"
"@Ha Nguyen galbi roman nè","0","1"
"@Tran xuan nam nghe có vẻ mặn mà","0","1"
"@Không phải Khuất Hải Anh đâu???? hnao lên thử mỹ đình đi","0","1"
"@Sơn","0","1"
"@Thành Cẩm","0","1"
"@My Dang","0","1"
"@Trâm Đặng","0","1"
"@Kiệt Châu ????","0","1"
"@Văn TLong","0","1"
"@Ngọc Thanh","0","1"
"@Ngo Phuong Linh","0","1"
"@lehoanganh92_","0","1"
"@vthang294","0","1"
"@tphat chết r bk i âu h ck","0","1"
"@Thuý Vân em ơiii","0","1"
"@Phước Tòn ???? gần mình nè, để mấy bữa. Bé dẫn Tòn đi ăng nhaaaa","0","1"
"@???? hôm nào đi","0","1"
"@Hoài Thu Nguyễn bữa nào đi thử hong em","0","1"
"@Nguyễn Thái Vịnh em thèm????","0","1"
"@Phạm Anh Tài 129.","0","1"
"@Lê Ang gò vấp","0","1"
"@Lan Phạm gò vấp kia ????","0","1"
"@DanieBand quán này ngon nè","0","1"
"@tọng Cậu Út mở quán kìa","0","1"
"@PM chiều e lai anh nhé","0","1"
"@dy811rlrl99m aiu ơi nướng nướng này????","0","1"
"@bebe đóiiii","0","1"
"@2 0 0 1 ???? bao giờ đi k ????","0","1"
"@chip muoon ddi quá","0","1"
"@Việt Quỳnh giá mà xem đc sớm hơn ạ","0","1"
"Hai đứa đi đánh lẻ @Hg LiÊnn","0","1"
"@ThanhThao???? rủ 2 th già kia đii đi","0","1"
"@nguyenhuyentrang???? @Phạm Trang nhièu quán v","0","1"
"@vanthuyy trung thu lên đường","0","1"
"@Thanh Trúc nhìn phê vậy paaa","0","1"
"@zinlittle alo","0","1"
"@Quynh Quynh617 con tôm nhìn bự chà bá lun á m. Quá đã","0","1"
"@Tài Mụp Tag thôi, chứ không ý gì hết","0","1"
"@Anh Huấn","0","1"
"@Dâu Tây ???? Của Ba ????","0","1"
"@Việt Vũ","0","1"
"@Col","0","1"
"@KimAnhh","0","1"
"@Đình Đình","0","1"
"@Kim Ngân","0","1"
"@Nguyễn Mỹ @Kim Ngọc","0","1"
"@Phát Trương","0","1"
"@@Ke????","0","1"
"@Dquinh✨","0","1"
"@Wind Là Gió ;))","0","1"
"@Cô bé tôm hùm lun","0","1"
"@Nhím ơii","0","1"
"@hi aaa","0","1"
"@@Trâm Nguyễn be","0","1"
"@Trà My điiii","0","1"
"@???? di k :)))","0","1"
"@châu","0","1"
"@Trần Hải Dương","0","1"
"@Thắng ???? ????????????","0","1"
"@Linh Anh","0","1"
"@Quangg Minhh","0","1"
"@Cúc Thu","0","1"
"@ụ_u","0","1"
"@bro","0","1"
"@Muốn ăn Jollibee???????? @Merlynah???? quán chay nữa nè","0","1"
"@dồi sụn nướng bị nghe lén rồi","0","1"
"@Ngân B mới ăn xong khi nãy, quầy buffet ít, nhân viên kiểu hỏi mãi trốn không thôi. Hết bông cải xanh mình kêu 3 lần k có luôn á. Ăn cho biết","0","1"
"@_himinhlalucyday_ mê","0","1"
"@Nguyễn Minh Ánh thêm 1 nơi để đến","0","1"
"@ᰔᩚռɦím???????? ăn chay đi my","0","1"
"@ᒍr. ᗷ㋛ᗰ buffet chay nè anh ^^","0","1"
"@Mỹ Dung đi ăn khum ????","0","1"
"@Minh Huyền đii","0","1"
"@thinhhhh nhìu nấm quá kìa","0","1"
"@Phuong Vi not Phuong Vy @Nguyen Anh Quốc thèm quá mụi ngừiiii","0","1"
"@con gà tik tok ???????? @Trà Mi - Plant based quán chay nè hai cị iu","0","1"
"Uii @LoNa quán nữa tới nè hehee","0","1"
"@nini ăng","0","1"
"@Trung Kiên ăn lẩu chay nè","0","1"
"@Huỳnh Khang hôm nào xuống c2 xong mình đi ăn đi MM","0","1"
"@Diễm Kiều đÉng iUuu lứm óooo gủ Q dới H đi hônggg","0","1"
"@Tui là Kelly nè kpub giảm giá nèee","0","1"
"thèm kpub qá ba @Nguyen Linh3223","0","1"
"@QA trời lạnh gòi bà:)))","0","1"
"@Quả chúi bị thúi cô ơi đi thôi","0","1"
"@Hải Nguyên aaaaaa","0","1"
"@otp riêu như pún riêu cua ✨ lưu lạiiii","0","1"
"@Trang ăn lẩu kỉu việt đê","0","1"
"@Hoàng Giang đayy","0","1"
"@Hkanh2004 nay vừa bảo xong","0","1"
"@Trần Hiếu63709 biết ngấy nhưng nhìn thèm","0","1"
"@theow ăn khum","0","1"
"@_lhbe_ nè","0","1"
"@Lê Hải Linh t5 i không ngừi đẹp","0","1"
"@ducminh.179 chồng yêuuu","0","1"
"@????️????️  lưu về xag tuần đi ăn đỡ hỏi đi đâu????????","0","1"
"@sushi người ae","0","1"
"@vthuyz0401 bạn tôi à","0","1"
"@Hoàng Thoại Vy đồ ăn ngon luôn ở xa ta????????","0","1"
"@Quỳnh Anhanh quang trung nè","0","1"
"Nhìn con tôm càng là thấy chất lượng rồi nè @Sơn Ra-Khe (Thái Hoàng Sơn) @Lu Lu Review","0","1"
"@????????????̂́ ???????????? k ả mới lịa","0","1"
"@Thuý Vân em ơiiii","0","1"
"@Trương Phúc đi thôi","0","1"
"Tập ăn nhiều gòi tui dẫn bà đi @hongtienquach","0","1"
"@Ngoc Duyn tới ròii","0","1"
"Ck ơi @Jay June557","0","1"
"Đi ăn khum @Huy Hairzoneista","0","1"
"@chocopie nè","0","1"
"@Hải Minhh quầy line có thêm đồ nè","0","1"
"@Minh Đức em muốn đi ănnnnnnnnnnnnn","0","1"
"@Tiểu Bối Nhỏ nhích thui em mình ơi","0","1"
"@HH.GZ @Kim Chi bao giờ mới mở ở đằng nhà mình nhỉ ????","0","1"
"@TusHoa_Nguyen @","0","1"
"@viettruongvu730","0","1"
"@minhnarah6","0","1"
"@Hien Lee","0","1"
"@Phát Nguyễn","0","1"
"@Nam Hoang","0","1"
"@Lê Dũng","0","1"
"@Xiu ????????????????","0","1"
"@Hoangthuy⛈️ck oi đứa lẩu riêu đứa lâu thái nhe","0","1"
"@Ngọc Nguyễn anh ơiii","0","1"
"@Whiteboiz eeee","0","1"
"Ra Hà Nội lủm thôi @Nguyễn Phương Thảo @Hoàng Nam KA","0","1"
"@Duddo gô","0","1"
"@sick biêdt thế ăn lẩu","0","1"
"@Nguyễn Thế giờ khác nhở","0","1"
"@ĐP nào ăn thử","0","1"
"@19.10 ăng lẩu hong","0","1"
"@Minh Phương @Chồn xbb???? 2 đứa thích ăn","0","1"
"@Ngọc Saphia cho N đi thử","0","1"
"@minhhue772 t5","0","1"
"@thích ăn xoài đi ăn lẩu riêu xem có tìm đc real love k","0","1"
"@Trí ????????????","0","1"
"@duongkieumy bữa t tag m bên fb nè. có người rì viu rồi nè????","0","1"
"@Hân Blink có vẻ được hơn spicy box nè m ơi","0","1"
"@Thoảng ( bé lì) qtr rồi????","0","1"
"@khacthuan bữa nào về CM đi","0","1"
"@Chí An Chỗ anh nói nè????","0","1"
"@Như Như đi hôn ????","0","1"
"@Lý Kiều nè em ????????","0","1"
"@Nhân nemo về đi ăn","0","1"
"@Phạm Khánh Duy anh","0","1"
"@Triều Vĩ anhhhh????","0","1"
"@Trúc Thư????‍♀️❤???? cuối năm tới côg chuyện","0","1"
"@điêu Nguyễn cpi đi hoi","0","1"
"@Nii thèm ghia","0","1"
"@Út Mẫn???? chỗ nì gần trọ em nè","0","1"
"@Kiều Hoàng thử quán này đi","0","1"
"@Tuan_tuti96 quán này có vẻ OK nè ck nào về ăn thử nhỉ ck ????????","0","1"
"@Lành Re về hp để đi choén bạn ưi ????","0","1"
"@Tùng Đức @Moon Club Billiards Hạ Long làm kiểu này cũng hay nhỉ","0","1"
"@IZUZI55 nơi mành ăn đây","0","1"
"@Bat pho khonghanh quán giờ nhiều đồ nhỉ","0","1"
"@@Như Quỳnh thế tháng sauu tuii zìa nhé","0","1"
"@Tiểu My hú hu","0","1"
"@Tranh xinh???????????? đi ko ạ","0","1"
"@Hwn.204 mày có muốn chứng thực k chúng ta đi làm video","0","1"
"@Tùng Teng may quá nhìn hú hồn lên đi luôn","0","1"
"@Míttơ Tùng hí. ko bít có phải lần trc ăn quán này ko","0","1"
"@Anh Da Ngăm","0","1"
"@Ⓜ️Thanh TrọngⓂ️đi ôn","0","1"
"@thaothaoneee @Darius cũng ok nè","0","1"
"@Nguyễn Phú Vô đi từ từ a ơi hh","0","1"
"@kim_ca_map đôi mình và đôi bạn là đủ 4 người","0","1"
"@Hồ Thị Thu đi kh bn","0","1"
"@Huynh Thom đi ăn nè","0","1"
"@Thùy Hoàng đi liền nè????","0","1"
"đi ăn nè @irislee214","0","1"
"@Quý","0","1"
"@Mỹ Kim @quynh oanh @bao nhi @Phương Nhi","0","1"
"@Thảo Nguyên????","0","1"
"@N.Trân❤????","0","1"
"@????????????????????????","0","1"
"@Chi Chi nhìn băng chuyền ngta kìa, mình đi sao lạ quá =))))","0","1"
"@Lý Nam đi nè a ơiiii","0","1"
"@Nguyễn Trần Hữu Phát","0","1"
"@Imgiang","0","1"
"@Quân Peter chỗ a nè","0","1"
"@haovu1133 @thành trầnn ê bữa định đi quán này nhma nghe ăn k ổn nè","0","1"
"@Tutu lên giá seo","0","1"
"quán ruột viral @lochungtran @phmthnphunnn","0","1"
"@_phwg.ahnn04_ sao đây","0","1"
"@Bảo Trâm bữa nào mò ra i ăn hong pà","0","1"
"@Thúy Trương thay dookki","0","1"
"@conmeocuti ê hay đi ăn lẩu viên k","0","1"
"@Quốc Khôi nào lên đi","0","1"
"@cạp cạp aiu ơi","0","1"
"Đi thoai ???? @Po ????️‍????  thả lẩu kìa","0","1"
"@Nguyễn Tâm5885 lãnh lương e đi ăn này điii","0","1"
"Đi ăn@Amy @Anna pham","0","1"
"@my.phn ăn thử chưa, ngon lắm nha","0","1"
"@MTram áo cam đtrai quá kìa","0","1"
"@Anna và Teddy???? đây em","0","1"
"@Ngoc Thanh thích ăn giống z hem","0","1"
"@@hunbeo lô","0","1"
"@Vaan Anh [wronged] ê mày","0","1"
"@Tui Đang ngủ ???? ngon qaaaaaa","0","1"
"@impe.arl neo đi làm lợi cdoi khum cậu????","0","1"
"@Rin đấy","0","1"
"@bao giờ giàu thì đổi tên!! Chống đói nè","0","1"
"@Trần trà myyy gần vnu phết =)))","0","1"
"@????????????????. bánh cáaa","0","1"
"@Phan Ngoc Anh hahaha","0","1"
"@diep10_87lang gét gô","0","1"
"@t sầu nha ???? đi ăn đi đỡ sầu","0","1"
"@mít mai","0","1"
"@Đăng Minh Vũ em muốn","0","1"
"@T R U O N G ???? cho meoo ăn","0","1"
"@Vũ Hương Dịu thèmmmm","0","1"
"@Lã Phương Mai bây ơi","0","1"
"@_trantra29103_ nữa nè :))","0","1"
"@bephuong???? bánh cá","0","1"
"@An An đi ăn lẹ","0","1"
"@Phương Anh từ giờ trà đá đại học thui nhé","0","1"
"@Hạnh ????????","0","1"
"@Đỗ Uyên hiii","0","1"
"@mp nhịn 1 tuần đi ăn 1 ngayg","0","1"
"@Đạt Đẹp Trai ???? đi học cùng k????","0","1"
"@Nguyễn Bảo Hằng kem chanh chỗ nào nhỉ","0","1"
"@linhtho595 kem chanh này","0","1"
"@Ohlahlah vậy là k phải quay lại hlu mới có kem chanh rồi huhu????","0","1"
"@Quẹc quẹc vì cí này nên tui nhớ kem chanh đó","0","1"
"@Dung đấy thẩm dần đi","0","1"
"@myytraaaa người bận rộn xem hôm nào đi","0","1"
"@Borahae_9597???? t đi học rùi đi ăn xiên bẩn đây","0","1"
"@ttp-Phươngπ✓1 Rẻ vậy á ????","0","1"
"@Ngoc Anh động lực kìaa ????","0","1"
"@T m ơi kem chanhhh","0","1"
"@Quỳnh Nga 1 thời nè","0","1"
"@Shopxinhheve sao tui ko bit món kem chanh nhỉ","0","1"
"@???????????? mời bạn","0","1"
"@Trần Linh???? hẹn hôm nào ????","0","1"
"@Pham Binh cho t đi ăn kem chanh","0","1"
"@Giang????‍♀️????‍♀️ kem chanhhhhh","0","1"
"@Như Quỳnh kem chanh kem chanh","0","1"
"@Grap top alo alo ????","0","1"
"@đi uống trà bí đao ko⁉️cậu mún lên hong ????????‍♀️","0","1"
"@Nguyễn Thị Huyền Trang nhớ ở hùynh thúc kháng","0","1"
"@Shopxinhheve tui chưa ăn này bh hôm nào đi ăn thử khum","0","1"
"@user9433045226172 mai mua cầm sang nhá","0","1"
"@Chu Quỳnh toàn thấy chê =))","0","1"
"@userwik57gmbg1 tại sao mình lại lầm đc lạc lối ????????","0","1"
"@uchihahahahahaha thẩm chưa dịu","0","1"
"@Dương Văn Định oppa","0","1"
"@BL k nát =)))","0","1"
"@mphune tại sao qua mk ko thấy☺️","0","1"
"@user839i3ufuuei3i3ieiei gần m k","0","1"
"@ghéc ăn hành ăn như qp mng ạ :)))","0","1"
"@Lưu Quang Khoa nè anh","0","1"
"@.? Xa nên hoy nha","0","1"
"@✩°｡⋆⸜ pdung✮ rv di xong mua cho t????","0","1"
"@????????.???????? thử khum","0","1"
"@Nghĩa đang trồng hoa ???? cầu giấy nè","0","1"
"@Lân đây r","0","1"
"@Quach Huu Lam ck oi","0","1"
"@vy_0123450 điiiiiii","0","1"
"@Hohuqua ô. Ngay gần ????","0","1"
"@Hặn Hặn quán mới","0","1"
"@Hạo Vũ và những người bạn Đi khum bạn","0","1"
"@Nguyễn Ngọc200802 đi đê","0","1"
"@tomchiensu tr ơi là tr","0","1"
"@pa tiếp","0","1"
"@???? chiến chiến","0","1"
"@Ly giảm cân đi","0","1"
"@trượt 3 nguyện vọng đầu đii ????","0","1"
"@Ngoc_ahn","0","1"
"@Kimcuc Vu","0","1"
"@Dương Thuỳ","0","1"
"@Cường Lê Offices ????","0","1"
"@Xuân Quỳnh","0","1"
"@Hà","0","1"
"@Bao Chau","0","1"
"@Chlee.Shop","0","1"
"@Nguyễn Hải Bách","0","1"
"@Ng Quynh Trang","0","1"
"@thuhien21-10 @Ngọc Linh","0","1"
"@Anh Phạm nè bên cau giấy ne a","0","1"
"@6303.vt89 đây à","0","1"
"@ℍ????̀???????? ℙ???????????????? đang không biết ăn gì heee","0","1"
"@Phạm Thuỳ ✨","0","1"
"@Thu Huyen","0","1"
"@Cá Con Đánh Chứng ????","0","1"
"@Nguyen Anh ????","0","1"
"@Chisooo????????????  b oi","0","1"
"@GobLinn","0","1"
"@truongnghiem160905","0","1"
"@Long pisces’s ????????","0","1"
"@haiz","0","1"
"@Thanh Huyền ????","0","1"
"@Vũ Thị Tâm","0","1"
"@Manh Hieu","0","1"
"@???????? Khánh ????????","0","1"
"@MEN SHOP","0","1"
"@???????? ????̂???? (????????????̨ ????ạ????) ở cầu giấy này","0","1"
"@lamdz0408","0","1"
"@Holaa ????","0","1"
"@:)) rì viu cấy","0","1"
"@HàAnh của anh ???? nhìn bánh đồng xu kia lạ k dì","0","1"
"@Thùng chanh múc no bạn","0","1"
"@Bống Bagg ăn bánh con mực ik","0","1"
"@Steven cạnh nhà vợ có hẳn 2-3 chỗ bán","0","1"
"@Vợ Fourth faen Gem bánh con mực","0","1"
"@✨Mai mẹ fomai ngta nnay","0","1"
"@CONSTRUCTION ENGINEER IN JAPAN ???? con mực","0","1"
"@???? bé thích hình con mực","0","1"
"@Tuyết Nhung tối ngoan thì cho đi ăn kkk","0","1"
"@@Thu_thuỷ b ơi, nao đi nha","0","1"
"@bao giờ PL bỏ thì đổi tên anhhh ????????","0","1"
"@thư bánh con mực này lạ quá","0","1"
"@Nguyễn thương có cả bánh hình con mực này","0","1"
"@đạt nguyễn lại phải đi thôi","0","1"
"@vux ???? nghĩa tân kìa","0","1"
"@Huyềnn Huyềnn Bác ơi","0","1"
"@Kiều Châm con mực","0","1"
"@h•linhh05 kia","0","1"
"@tuyenc.211 kkk","0","1"
"@???? toi mún ănn","0","1"
"@✰???? ra là v","0","1"
"@Nhật Lệ tròi oi mai","0","1"
"@Tố Uyên có phải hồi cấp 3 hay đi măm k nhỉ","0","1"
"@ThuyDuong thèm hong","0","1"
"@Đ.Đức trông quen quen","0","1"
"@lường dũng","0","1"
"@truongnghiem160905","0","1"
"@unknownbina","0","1"
"@Thu Thuỷ ❤️","0","1"
"@Chi Cena","0","1"
"@Thanh Thảo đi khum","0","1"
"@nguyen2005huyen2 quán htrc","0","1"
"@Thảo Hiền Nee","0","1"
"@snakew.289","0","1"
"@Chi Cena","0","1"
"@lexinggeii^^","0","1"
"@Chi Chi hơi quằn quại nhg mình thít =))","0","1"
"@ghệ iuu dấu của GemGem???? @T.zyyy bản gốc ????","0","1"
"@ngocanh1206 nè","0","1"
"@anhyeudiepchi_ quề chá nà=)))))","0","1"
"@vitʕ•ᴥ•ʔ dm vietsub in china","0","1"
"@(-(hhh)-) thức với tui ngắm ko ????","0","1"
"@bé cá???? cùng ngắm nhaaa","0","1"
"@Bí nhe ♓️@???? mai quậy này đc nè","0","1"
"@Hiền Hiền ???????? ls c có thể quên nụ cười của e????","0","1"
"@pm @Nguyễn Mai Oanh gwenchana","0","1"
"@Kim Ngân đang giảm béo ê làm hong có lợi luôn á","0","1"
"@????????????????????:suka masak g suka cuci piring????","0","1"
"@meo..310 cuối năm nay hay sang đầu năm là đẹp rồi","0","1"
"@_23.06 ???? deth gheee","0","1"
"@thich an bun dau mam tom 2 cặp đôi đều đẹp quãi","0","1"
"@ĐaVyKim nhớ đi học hỏi kinh nghiệm nha","0","1"
"@KiuTru chuẩn bị tới ac ????","0","1"
"@Triều Nghi tui chờ Yayaaaaa","0","1"
"tiếp ik chj em sắp quên lun em có ny r @...","0","1"
"@???? @thuỳ dương gái đẹp nè aee:))","0","1"
"@Traamm đó cuốn vãi","0","1"
"@Mạnh Cường7212 đẻ con gái cho nết na ???????????? r nó mang em ra tô màu luôn ????????????","0","1"
